Date,Proverbe,Traduction
02/07,Lalin ka voyé son : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
03/07,Tanbou ka voyé son : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
04/07,Woch ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
05/07,Bwa ka mennen'w koté'w pa lé alé : Pou viv an lanmou.,Pou viv an lanmou
06/07,Soley ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
07/07,Kokiyaj ka montré verité-a : Pou viv an lanmou.,Pou viv an lanmou
08/07,Kannari ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
09/07,Kannari ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
10/07,Vant ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
11/07,Kannari ka voyé son : Pou toujou gadé douvan.,Pou toujou gadé douvan
12/07,Konpè lapen ka voyé lod : Pou toujou gadé douvan.,Pou toujou gadé douvan
13/07,Kokiyaj ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
14/07,Tanbou ka voyé lod : Pou chonjé fòs'w.,Pou chonjé fòs'w
15/07,Tanbou ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/07,Vant ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/07,Fey ka montré verité-a : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
18/07,Chyen ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
19/07,Mouton pa ka manti : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
20/07,Péyi-a ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
21/07,Kannari ka ba tout moun limyè : Pou chonjé fòs'w.,Pou chonjé fòs'w
22/07,Chyen ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
23/07,Konpè krab ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
24/07,Chat ka pran pasé'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
25/07,Konpè lapen ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
26/07,Tanbou ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
27/07,Woch ka voyé lod : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
28/07,Chat ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
29/07,Bwa ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
30/07,Chat pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
31/07,Zépon ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
01/08,Woch ka fè chimen'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
02/08,Bwa ka voyé lod : Pou chonjé fòs'w.,Pou chonjé fòs'w
03/08,Dlo ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
04/08,Kokiyaj ka voyé lod : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
05/08,Zépon ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
06/08,Péyi-a ka voyé son : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
07/08,Soley ka pran tan'y pou fè mizik : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
08/08,Konpè lapen ka voyé son : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
09/08,Dlo ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
10/08,Lalin ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
11/08,Lalin ka montré verité-a : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
12/08,Kannari ka pran tan'y pou fè mizik : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
13/08,Mouton ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
14/08,Fey ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
15/08,Konpè lapen ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
16/08,Konpè lapen ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/08,Kannari ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
18/08,Lalin ka pran pasé'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
19/08,Chyen ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
20/08,Zépon ka ba tout moun limyè : Pou viv an lanmou.,Pou viv an lanmou
21/08,Fey ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
22/08,Kokiyaj ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
23/08,Zépon ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
24/08,Fey ka pran pasé'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/08,Woch ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
26/08,Zétwal ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
27/08,Lanmé ka montré verité-a : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
28/08,Kannari ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
29/08,Lalin ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
30/08,Soley ka pran pasé'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
31/08,Soley ka voyé son : Pou viv an lanmou.,Pou viv an lanmou
01/09,Bwa ka montré verité-a : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
02/09,Lalin ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
03/09,Mouton ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
04/09,Péyi-a ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
05/09,Chyen ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
06/09,Lanmé ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
07/09,Fey ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
08/09,Bwa ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
09/09,Vant ka pran tan'y pou fè mizik : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
10/09,Lalin ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
11/09,Mouton ka kaché sékré : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
12/09,Ti poul ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
13/09,Zétwal ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
14/09,Vant ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
15/09,Ti poul ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/09,Vant pa ka manti : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/09,Mouton ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
18/09,Zépon ka montré verité-a : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
19/09,Zépon ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
20/09,Bwa ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
21/09,Zétwal ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
22/09,Dlo ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
23/09,Lalin ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
24/09,Konpè krab ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/09,Bwa ka pran tan'y pou fè mizik : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
26/09,Chat ka fè chimen'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
27/09,Zétwal ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
28/09,Lanmé ka voyé lod : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
29/09,Chat ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
30/09,Konpè krab ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
01/10,Chat pa ka manti : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
02/10,Soley ka kaché sékré : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
03/10,Konpè lapen ka pran pasé'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
04/10,Konpè lapen ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
05/10,Soley ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
06/10,Dlo ka kaché sékré : Pou chonjé fòs'w.,Pou chonjé fòs'w
07/10,Péyi-a ka voyé son : Pou toujou gadé douvan.,Pou toujou gadé douvan
08/10,Lalin ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
09/10,Lalin ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
10/10,Chat ka mennen'w koté'w pa lé alé : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
11/10,Zétwal ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
12/10,Péyi-a pa ka manti : Pou toujou gadé douvan.,Pou toujou gadé douvan
13/10,Péyi-a ka mennen'w koté'w pa lé alé : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
14/10,Tanbou ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
15/10,Tanbou ka voyé lod : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/10,Dlo ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
17/10,Lanmé ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
18/10,Chat ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
19/10,Konpè krab ka pran pasé'y : Pou viv an lanmou.,Pou viv an lanmou
20/10,Kannari ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
21/10,Lanmé ka fè chimen'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
22/10,Chat ka ba tout moun limyè : Pou chonjé fòs'w.,Pou chonjé fòs'w
23/10,Lanmé pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
24/10,Fey ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
25/10,Bwa ka ba tout moun limyè : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
26/10,Tanbou ka ba tout moun limyè : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
27/10,Péyi-a ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
28/10,Bwa ka kaché sékré : Pou chonjé fòs'w.,Pou chonjé fòs'w
29/10,Kokiyaj ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
30/10,Konpè lapen ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
31/10,Kokiyaj ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
01/11,Konpè krab ka voyé son : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
02/11,Zépon ka voyé son : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
03/11,Chyen ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
04/11,Soley ka pran tan'y pou fè mizik : Pou viv an lanmou.,Pou viv an lanmou
05/11,Zépon ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
06/11,Fey ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
07/11,Kokiyaj ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
08/11,Vant ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
09/11,Tanbou ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
10/11,Woch ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
11/11,Fey pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
12/11,Kannari ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
13/11,Woch ka kaché sékré : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
14/11,Mouton ka fè chimen'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
15/11,Zétwal ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
16/11,Bwa ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
17/11,Péyi-a ka fè chimen'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
18/11,Fey ka mennen'w koté'w pa lé alé : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
19/11,Chyen ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
20/11,Lalin ka pran tan'y pou fè mizik : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
21/11,Chyen ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
22/11,Fey pa ka manti : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
23/11,Kannari pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
24/11,Woch pa ka manti : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
25/11,Bwa ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
26/11,Konpè lapen ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
27/11,Chyen ka voyé lod : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
28/11,Lanmé ka pran tan'y pou fè mizik : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
29/11,Zétwal ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
30/11,Zétwal ka pran tan'y pou fè mizik : Pou viv an lanmou.,Pou viv an lanmou
01/12,Péyi-a ka voyé lod : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
02/12,Dlo ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
03/12,Soley ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
04/12,Konpè krab ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
05/12,Zétwal ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
06/12,Mouton ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
07/12,Zétwal ka kaché sékré : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
08/12,Lalin ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
09/12,Soley ka pran pasé'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
10/12,Vant ka montré verité-a : Pou chonjé fòs'w.,Pou chonjé fòs'w
11/12,Konpè lapen ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
12/12,Zétwal ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
13/12,Soley ka montré verité-a : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
14/12,Dlo ka montré verité-a : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
15/12,Konpè krab ka fè chimen'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
16/12,Ti poul pa ka manti : Pou chonjé fòs'w.,Pou chonjé fòs'w
17/12,Lanmé ka kaché sékré : Pou chonjé fòs'w.,Pou chonjé fòs'w
18/12,Chyen ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
19/12,Tanbou ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
20/12,Mouton ka montré verité-a : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
21/12,Vant ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
22/12,Zépon ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
23/12,Lalin ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
24/12,Mouton pa ka manti : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/12,Chyen ka voyé son : Pou viv an lanmou.,Pou viv an lanmou
26/12,Zétwal ka kaché sékré : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
27/12,Konpè lapen ka voyé lod : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
28/12,Woch ka montré verité-a : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
29/12,Bwa ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
30/12,Zépon ka voyé son : Pou toujou gadé douvan.,Pou toujou gadé douvan
31/12,Chat ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
